"view_name","source_id","replica_id","unid","form","title","doc_date","onenote_page_id","onenote_web_url","onenote_client_url","url_from_error","migration_status","error_message","processed_at","link_resolution_status","system","subsystem","documentdate","documentno","entryuser","actionstatus","fd_text_1","documentdate_2","release_plan","release_comp","ask"
"VwHosyu_1","49258C3000042207_F44E0A150F0F241849257BA2008188BB","49258C3000042207","F44E0A150F0F241849257BA2008188BB","","IWFM:ﾍﾞｽﾄｰﾈ伝票印字ｽﾞﾚ修正","2013/07/09","1-2e1cb0d4d1414013a64f5e4e6a577dbc!120-52fe9380-6fcc-44ab-bb5d-8ffd787ccfa7","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB?wd=target%28%E3%83%95%E3%83%BC%E3%83%89.one%7Ca3d78449-540a-4506-be5a-c69eed41bfb0%2FIWFM%EF%BE%8D%EF%BE%9E%EF%BD%BD%EF%BE%84%EF%BD%B0%EF%BE%88%E4%BC%9D%E7%A5%A8%E5%8D%B0%E5%AD%97%EF%BD%BD%EF%BE%9E%EF%BE%9A%E4%BF%AE%E6%AD%A3%7Cd85d8707-5709-478f-a264-7a108ef7bc27%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB/%E3%83%95%E3%83%BC%E3%83%89.one#IWFM%EF%BE%8D%EF%BE%9E%EF%BD%BD%EF%BE%84%EF%BD%B0%EF%BE%88%E4%BC%9D%E7%A5%A8%E5%8D%B0%E5%AD%97%EF%BD%BD%EF%BE%9E%EF%BE%9A%E4%BF%AE%E6%AD%A3&section-id=a3d78449-540a-4506-be5a-c69eed41bfb0&page-id=d85d8707-5709-478f-a264-7a108ef7bc27&end","","done","","2026-03-25T16:56:43","NO_LINK","フード","ＰＣシステム","2013/07/09","保守NF-BE13-009","宮崎 浩一","完了","IWFM:ﾍﾞｽﾄｰﾈ伝票印字ｽﾞﾚ修正","2013/07/09","2013/08/13","2013/08/13","中日本フード滋賀営業部"
"VwHosyu_1","49258C3000042207_8C9E665DAA01035F49257BA4001DE6C1","49258C3000042207","8C9E665DAA01035F49257BA4001DE6C1","","IWFM:日生協帳合用伝票作成","2013/07/10","1-61ddadc246fc494fb56194718bed766b!34-52fe9380-6fcc-44ab-bb5d-8ffd787ccfa7","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB?wd=target%28%E3%83%95%E3%83%BC%E3%83%89.one%7Ca3d78449-540a-4506-be5a-c69eed41bfb0%2FIWFM%E6%97%A5%E7%94%9F%E5%8D%94%E5%B8%B3%E5%90%88%E7%94%A8%E4%BC%9D%E7%A5%A8%E4%BD%9C%E6%88%90%7Cee484572-69b4-4188-bbe5-a23c344645d5%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB/%E3%83%95%E3%83%BC%E3%83%89.one#IWFM%E6%97%A5%E7%94%9F%E5%8D%94%E5%B8%B3%E5%90%88%E7%94%A8%E4%BC%9D%E7%A5%A8%E4%BD%9C%E6%88%90&section-id=a3d78449-540a-4506-be5a-c69eed41bfb0&page-id=ee484572-69b4-4188-bbe5-a23c344645d5&end","","done","","2026-03-25T16:56:52","HAS_LINK_UNRESOLVED","フード","ＰＣシステム","2013/07/10","保守NF-BE13-010","宮崎 浩一","完了","IWFM:日生協帳合用伝票作成","2013/07/10","2014/07/02","2014/07/03","関東日本フード㈱量販２課"
"VwHosyu_1","49258C3000042207_74281E7270A7E41149257BAE00164EEA","49258C3000042207","74281E7270A7E41149257BAE00164EEA","","OE売上処理作成（オーケーストア）","2013/07/20","1-bbfdbef4141c4fea96ad386ecdaaadd1!27-52fe9380-6fcc-44ab-bb5d-8ffd787ccfa7","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB?wd=target%28%E3%83%95%E3%83%BC%E3%83%89.one%7Ca3d78449-540a-4506-be5a-c69eed41bfb0%2FOE%E5%A3%B2%E4%B8%8A%E5%87%A6%E7%90%86%E4%BD%9C%E6%88%90%EF%BC%88%E3%82%AA%E3%83%BC%E3%82%B1%E3%83%BC%E3%82%B9%E3%83%88%E3%82%A2%EF%BC%89%7Ce84eff1d-8ee2-4b76-9be5-58a16bda29db%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB/%E3%83%95%E3%83%BC%E3%83%89.one#OE%E5%A3%B2%E4%B8%8A%E5%87%A6%E7%90%86%E4%BD%9C%E6%88%90%EF%BC%88%E3%82%AA%E3%83%BC%E3%82%B1%E3%83%BC%E3%82%B9%E3%83%88%E3%82%A2%EF%BC%89&section-id=a3d78449-540a-4506-be5a-c69eed41bfb0&page-id=e84eff1d-8ee2-4b76-9be5-58a16bda29db&end","","done","","2026-03-25T16:56:59","NO_LINK","フード","ＰＣシステム","2013/07/20","保守NF-BE13-011","宮崎 浩一","対応不要","OE売上処理作成（オーケーストア）","2013/07/20","2013/07/20","2013/07/20","関東日本フード㈱西関東川崎"
"VwHosyu_1","49258C3000042207_8BC4D3DB00FD621C49257BCD00090A89","49258C3000042207","8BC4D3DB00FD621C49257BCD00090A89","","阪急:個数表ﾚｲｱｳﾄ変更","2013/08/20","1-e71834399aff47afbb188b067263abfd!172-52fe9380-6fcc-44ab-bb5d-8ffd787ccfa7","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB?wd=target%28%E3%83%95%E3%83%BC%E3%83%89.one%7Ca3d78449-540a-4506-be5a-c69eed41bfb0%2F%E9%98%AA%E6%80%A5%E5%80%8B%E6%95%B0%E8%A1%A8%EF%BE%9A%EF%BD%B2%EF%BD%B1%EF%BD%B3%EF%BE%84%E5%A4%89%E6%9B%B4%7C6d1e8fd5-9707-4553-9413-b6e30eade231%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB/%E3%83%95%E3%83%BC%E3%83%89.one#%E9%98%AA%E6%80%A5%E5%80%8B%E6%95%B0%E8%A1%A8%EF%BE%9A%EF%BD%B2%EF%BD%B1%EF%BD%B3%EF%BE%84%E5%A4%89%E6%9B%B4&section-id=a3d78449-540a-4506-be5a-c69eed41bfb0&page-id=6d1e8fd5-9707-4553-9413-b6e30eade231&end","","done","","2026-03-25T16:57:09","NO_LINK","フード","ＰＣシステム","2013/08/20","保守NF-BE13-012","宮崎 浩一","完了","阪急:個数表ﾚｲｱｳﾄ変更","2013/08/20","2013/10/28","2013/10/28","中日本フード㈱近畿量販部"
"VwHosyu_1","49258C3000042207_C49B8783AABAD14D49257BCD000987A2","49258C3000042207","C49B8783AABAD14D49257BCD000987A2","","阪急:個数表店舗追加依頼","2013/08/14","1-9172b5fb799d482cb61623553757bd29!98-52fe9380-6fcc-44ab-bb5d-8ffd787ccfa7","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB?wd=target%28%E3%83%95%E3%83%BC%E3%83%89.one%7Ca3d78449-540a-4506-be5a-c69eed41bfb0%2F%E9%98%AA%E6%80%A5%E5%80%8B%E6%95%B0%E8%A1%A8%E5%BA%97%E8%88%97%E8%BF%BD%E5%8A%A0%E4%BE%9D%E9%A0%BC%7C01d75cc6-53c3-4e7a-81af-9c78b9d1fbfd%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB/%E3%83%95%E3%83%BC%E3%83%89.one#%E9%98%AA%E6%80%A5%E5%80%8B%E6%95%B0%E8%A1%A8%E5%BA%97%E8%88%97%E8%BF%BD%E5%8A%A0%E4%BE%9D%E9%A0%BC&section-id=a3d78449-540a-4506-be5a-c69eed41bfb0&page-id=01d75cc6-53c3-4e7a-81af-9c78b9d1fbfd&end","","done","","2026-03-25T16:57:16","NO_LINK","フード","ＰＣシステム","2013/08/14","保守NF-BE13-013","宮崎 浩一","完了","阪急:個数表店舗追加依頼","2013/08/14","2013/08/17","2013/09/03","中日本フード㈱近畿量販部"
"VwHosyu_1","49258C3000042207_BE71522E422A3CB549257BCD000BA8C0","49258C3000042207","BE71522E422A3CB549257BCD000BA8C0","","ﾗｲﾌ:個数表店舗ｺｰﾄﾞ欄追加","2013/08/20","1-e1b1cc2a7eb94bf49c5bd2c937d6a6ff!165-52fe9380-6fcc-44ab-bb5d-8ffd787ccfa7","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB?wd=target%28%E3%83%95%E3%83%BC%E3%83%89.one%7Ca3d78449-540a-4506-be5a-c69eed41bfb0%2F%EF%BE%97%EF%BD%B2%EF%BE%8C%E5%80%8B%E6%95%B0%E8%A1%A8%E5%BA%97%E8%88%97%EF%BD%BA%EF%BD%B0%EF%BE%84%EF%BE%9E%E6%AC%84%E8%BF%BD%E5%8A%A0%7Cf141d63e-5832-49f3-b6d4-1d1803af98e1%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB/%E3%83%95%E3%83%BC%E3%83%89.one#%EF%BE%97%EF%BD%B2%EF%BE%8C%E5%80%8B%E6%95%B0%E8%A1%A8%E5%BA%97%E8%88%97%EF%BD%BA%EF%BD%B0%EF%BE%84%EF%BE%9E%E6%AC%84%E8%BF%BD%E5%8A%A0&section-id=a3d78449-540a-4506-be5a-c69eed41bfb0&page-id=f141d63e-5832-49f3-b6d4-1d1803af98e1&end","","done","","2026-03-25T16:57:29","NO_LINK","フード","ＰＣシステム","2013/08/20","保守NF-BE13-014","宮崎 浩一","完了","ﾗｲﾌ:個数表店舗ｺｰﾄﾞ欄追加","2013/08/20","2013/08/26","2013/08/27","中日本フード㈱近畿量販部"
"VwHosyu_1","49258C3000042207_C15E7E17E85A19F849257BD400412CCC","49258C3000042207","C15E7E17E85A19F849257BD400412CCC","","ﾍﾞﾙｸ:売上CSVﾃﾞｰﾀでﾁｪｯｸ機能を追加","2013/08/27","1-ca21c6a007a74c428b55914f908a055f!13-52fe9380-6fcc-44ab-bb5d-8ffd787ccfa7","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB?wd=target%28%E3%83%95%E3%83%BC%E3%83%89.one%7Ca3d78449-540a-4506-be5a-c69eed41bfb0%2F%EF%BE%8D%EF%BE%9E%EF%BE%99%EF%BD%B8%E5%A3%B2%E4%B8%8ACSV%EF%BE%83%EF%BE%9E%EF%BD%B0%EF%BE%80%E3%81%A7%EF%BE%81%EF%BD%AA%EF%BD%AF%EF%BD%B8%E6%A9%9F%E8%83%BD%E3%82%92%E8%BF%BD%E5%8A%A0%7C13b74d49-18c5-4ad5-852b-99bb2f8d8b42%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB/%E3%83%95%E3%83%BC%E3%83%89.one#%EF%BE%8D%EF%BE%9E%EF%BE%99%EF%BD%B8%E5%A3%B2%E4%B8%8ACSV%EF%BE%83%EF%BE%9E%EF%BD%B0%EF%BE%80%E3%81%A7%EF%BE%81%EF%BD%AA%EF%BD%AF%EF%BD%B8%E6%A9%9F%E8%83%BD%E3%82%92%E8%BF%BD%E5%8A%A0&section-id=a3d78449-540a-4506-be5a-c69eed41bfb0&page-id=13b74d49-18c5-4ad5-852b-99bb2f8d8b42&end","","done","","2026-03-25T16:57:35","NO_LINK","フード","ＰＣシステム","2013/08/27","保守NF-BE13-015","宮崎 浩一","対応不要","ﾍﾞﾙｸ:売上CSVﾃﾞｰﾀでﾁｪｯｸ機能を追加","2013/08/27","","2013/11/08","関東日本フード㈱北関東群馬"
"VwHosyu_1","49258C3000042207_822E40EF86E2644A49257BD5000DFDAC","49258C3000042207","822E40EF86E2644A49257BD5000DFDAC","","(取下げ)IWFM:ﾏﾙｲ専用伝票作成","2013/08/28","1-b83ac8379fa04fadaa573c88047cd53f!16-52fe9380-6fcc-44ab-bb5d-8ffd787ccfa7","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB?wd=target%28%E3%83%95%E3%83%BC%E3%83%89.one%7Ca3d78449-540a-4506-be5a-c69eed41bfb0%2F%28%E5%8F%96%E4%B8%8B%E3%81%92%5C%29IWFM%EF%BE%8F%EF%BE%99%EF%BD%B2%E5%B0%82%E7%94%A8%E4%BC%9D%E7%A5%A8%E4%BD%9C%E6%88%90%7C4b975514-04c9-4672-aa78-b423643ab1f5%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB/%E3%83%95%E3%83%BC%E3%83%89.one#%28%E5%8F%96%E4%B8%8B%E3%81%92%29IWFM%EF%BE%8F%EF%BE%99%EF%BD%B2%E5%B0%82%E7%94%A8%E4%BC%9D%E7%A5%A8%E4%BD%9C%E6%88%90&section-id=a3d78449-540a-4506-be5a-c69eed41bfb0&page-id=4b975514-04c9-4672-aa78-b423643ab1f5&end","","done","","2026-03-25T16:57:43","NO_LINK","フード","ＰＣシステム","2013/08/28","保守NF-BE13-016","宮崎 浩一","業連取下（対応不要）","(取下げ)IWFM:ﾏﾙｲ専用伝票作成","2013/08/28","","2013/08/23","東日本フード㈱東北第二仙台"
"VwHosyu_1","49258C3000042207_AA8646CFDB7A728B49257BD5000E34D1","49258C3000042207","AA8646CFDB7A728B49257BD5000E34D1","","IWFM:ﾏｻﾞｰ牧場専用伝票作成","2013/08/28","1-27dbff805f404f2297d4c9eea85ad4ec!91-52fe9380-6fcc-44ab-bb5d-8ffd787ccfa7","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB?wd=target%28%E3%83%95%E3%83%BC%E3%83%89.one%7Ca3d78449-540a-4506-be5a-c69eed41bfb0%2FIWFM%EF%BE%8F%EF%BD%BB%EF%BE%9E%EF%BD%B0%E7%89%A7%E5%A0%B4%E5%B0%82%E7%94%A8%E4%BC%9D%E7%A5%A8%E4%BD%9C%E6%88%90%7C75bcd975-ec20-47dd-8b2a-6b5b15427d5a%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB/%E3%83%95%E3%83%BC%E3%83%89.one#IWFM%EF%BE%8F%EF%BD%BB%EF%BE%9E%EF%BD%B0%E7%89%A7%E5%A0%B4%E5%B0%82%E7%94%A8%E4%BC%9D%E7%A5%A8%E4%BD%9C%E6%88%90&section-id=a3d78449-540a-4506-be5a-c69eed41bfb0&page-id=75bcd975-ec20-47dd-8b2a-6b5b15427d5a&end","","done","","2026-03-25T16:57:53","HAS_LINK_UNRESOLVED","フード","ＰＣシステム","2013/08/28","保守NF-BE13-017","宮崎 浩一","完了","IWFM:ﾏｻﾞｰ牧場専用伝票作成","2013/08/28","2013/10/11","2013/10/11","関東日本フード㈱東関東木更津"
"VwHosyu_1","49258C3000042207_7F35885DB04CE53949257BDD00035ED0","49258C3000042207","7F35885DB04CE53949257BDD00035ED0","","IWFM伝票:Aｺｰﾌﾟ富士伝票修正","2013/09/05","1-4279f5d18a7f463387e5099ccb069f6f!78-52fe9380-6fcc-44ab-bb5d-8ffd787ccfa7","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB?wd=target%28%E3%83%95%E3%83%BC%E3%83%89.one%7Ca3d78449-540a-4506-be5a-c69eed41bfb0%2FIWFM%E4%BC%9D%E7%A5%A8A%EF%BD%BA%EF%BD%B0%EF%BE%8C%EF%BE%9F%E5%AF%8C%E5%A3%AB%E4%BC%9D%E7%A5%A8%E4%BF%AE%E6%AD%A3%7Ce4580b6a-ede0-4db3-a1b5-b24c4df502e4%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e4%bf%9d%e5%ae%88DB/%E3%83%95%E3%83%BC%E3%83%89.one#IWFM%E4%BC%9D%E7%A5%A8A%EF%BD%BA%EF%BD%B0%EF%BE%8C%EF%BE%9F%E5%AF%8C%E5%A3%AB%E4%BC%9D%E7%A5%A8%E4%BF%AE%E6%AD%A3&section-id=a3d78449-540a-4506-be5a-c69eed41bfb0&page-id=e4580b6a-ede0-4db3-a1b5-b24c4df502e4&end","","done","","2026-03-25T16:58:03","HAS_LINK_UNRESOLVED","フード","ＰＣシステム","2013/09/05","保守NF-BE13-018","宮崎 浩一","完了","IWFM伝票:Aｺｰﾌﾟ富士伝票修正","2013/09/05","2013/10/11","2013/10/11","関東日本フード㈱南関東静岡"
